               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 110,            0.027563,            0.050944,                   0,             0.62241,             0.50608,             0.52504,             0.20597,            0.057924,             0.14355,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,            0.028086,             0.05385,                   0,             0.60341,             0.52798,             0.52797,             0.20642,            0.057555,             0.14657,                   0,            0.004555,            0.004555,            0.004555
                 112,            0.027491,            0.049594,                   0,             0.56703,             0.53041,              0.5035,              0.2002,            0.059315,               0.145,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,            0.027705,            0.052538,                   0,             0.58314,             0.53041,             0.51135,             0.20259,            0.059146,             0.14352,                   0,            0.004456,            0.004456,            0.004456
                 114,            0.028389,            0.052643,                   0,              0.5753,             0.53041,             0.50985,             0.20253,            0.058461,             0.14495,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,            0.028083,            0.051235,                   0,             0.54419,             0.51706,             0.48786,             0.19061,            0.060526,             0.14396,                   0,            0.004357,            0.004357,            0.004357
                 116,            0.026241,            0.052358,                   0,             0.63562,             0.48905,             0.51895,             0.20802,            0.059302,              0.1443,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,            0.026229,            0.050346,                   0,             0.57076,             0.54988,             0.52598,             0.20248,            0.059389,             0.14393,                   0,            0.004258,            0.004258,            0.004258
                 118,            0.026367,              0.0475,                   0,             0.58713,             0.53771,             0.51479,             0.21211,            0.058116,             0.14535,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,            0.025962,            0.049381,                   0,             0.55803,             0.55961,             0.52913,              0.2013,            0.059424,             0.14447,                   0,            0.004159,            0.004159,            0.004159
                 120,            0.025847,            0.050655,                   0,             0.58924,             0.54448,             0.53741,             0.20764,            0.059474,              0.1471,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,            0.026502,            0.050571,                   0,             0.60206,             0.51168,             0.51747,             0.21091,            0.059258,             0.15243,                   0,             0.00406,             0.00406,             0.00406
                 122,            0.025893,            0.047268,                   0,             0.66732,             0.47689,             0.52711,             0.21357,            0.058753,             0.15376,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,            0.026259,            0.050505,                   0,             0.61363,             0.49635,             0.52469,             0.21082,            0.059605,              0.1503,                   0,            0.003961,            0.003961,            0.003961
                 124,            0.025178,            0.050214,                   0,              0.5596,             0.56934,              0.5474,             0.21978,            0.058301,             0.14973,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,            0.025317,            0.049839,                   0,             0.55685,             0.59124,             0.55511,             0.22667,            0.058033,              0.1471,                   0,            0.003862,            0.003862,            0.003862
                 126,            0.025564,            0.045639,                   0,             0.57258,             0.55084,             0.53357,             0.21853,            0.059102,             0.14728,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,            0.025016,            0.048064,                   0,             0.56724,             0.56768,              0.5369,             0.21975,            0.058262,             0.14603,                   0,            0.003763,            0.003763,            0.003763
                 128,            0.024561,            0.046961,                   0,             0.72275,             0.45985,             0.52589,             0.22103,            0.058321,             0.14843,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,            0.024826,            0.048921,                   0,              0.6363,             0.49148,             0.51741,             0.21333,            0.058587,             0.15152,                   0,            0.003664,            0.003664,            0.003664
                 130,             0.02471,            0.047779,                   0,             0.61199,             0.48418,             0.50073,             0.20427,            0.059713,             0.15387,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,            0.023768,            0.047572,                   0,             0.63369,             0.48175,              0.5046,             0.20792,            0.059135,             0.15641,                   0,            0.003565,            0.003565,            0.003565
                 132,            0.023313,            0.042934,                   0,             0.57005,             0.50648,             0.50206,              0.2133,            0.058952,             0.15454,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,            0.023476,            0.052975,                   0,              0.6047,             0.54988,             0.53758,             0.22378,            0.058183,             0.15037,                   0,            0.003466,            0.003466,            0.003466
                 134,            0.023746,            0.046468,                   0,             0.66749,             0.48175,             0.51827,             0.21467,            0.059405,             0.14648,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,            0.024638,            0.045144,                   0,             0.65292,             0.51095,             0.53029,             0.22042,            0.058557,             0.14937,                   0,            0.003367,            0.003367,            0.003367
                 136,             0.02372,            0.048289,                   0,             0.59424,             0.56691,             0.53906,             0.21676,            0.058137,             0.14786,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,            0.023458,            0.047442,                   0,             0.58518,             0.56448,             0.54282,             0.22159,            0.058074,             0.15081,                   0,            0.003268,            0.003268,            0.003268
                 138,            0.023299,            0.044836,                   0,             0.62094,             0.49821,             0.51118,             0.20885,            0.059619,             0.15809,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,            0.023489,            0.046138,                   0,             0.59082,             0.53285,             0.52812,             0.21098,            0.058435,             0.15877,                   0,            0.003169,            0.003169,            0.003169
                 140,            0.022326,            0.046769,                   0,             0.60887,             0.52555,              0.5266,             0.21342,            0.058583,             0.15646,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,             0.02196,            0.047747,                   0,             0.61689,             0.52068,             0.51591,             0.21292,            0.058372,             0.15833,                   0,             0.00307,             0.00307,             0.00307
                 142,            0.022595,            0.043523,                   0,             0.60103,             0.54015,             0.51944,             0.21485,            0.058525,             0.15355,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,            0.021958,             0.04414,                   0,             0.64544,             0.51338,             0.53291,             0.22164,            0.057825,             0.15224,                   0,            0.002971,            0.002971,            0.002971
                 144,            0.022124,             0.04676,                   0,             0.60238,             0.51095,             0.52082,             0.21751,            0.058522,             0.15004,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,            0.022654,            0.044655,                   0,             0.63281,             0.50852,             0.52859,               0.213,            0.058586,             0.15046,                   0,            0.002872,            0.002872,            0.002872
